i = 0:  123.00 29.00 
i = 1:  181.00 15.00 
i = 2:  161.00 23.00 
i = 3:  155.00 25.00 
i = 4:  116.00 43.00 
i = 5:  136.00 26.50 
i = 6:  172.00 17.00 
i = 7:  190.00 3.50 
i = 8:  122.00 27.00 
i = 9:  177.00 7.50 
i = 10:  133.00 19.50 
i = 11:  162.00 14.50 
i = 12:  128.00 26.50 
i = 13:  120.00 26.50 
i = 14:  115.00 29.00 
i = 15:  158.00 19.00 
i = 16:  108.00 13.00 
i = 17:  135.00 11.00 
i = 18:  174.00 9.00 
i = 19:  152.00 9.50 
i = 20:  164.00 7.50 
i = 21:  199.00 3.00 
i = 22:  107.00 25.00 
i = 23:  99.00 19.50 
i = 24:  127.00 7.50 
i = 25:  186.00 7.00 
i = 26:  100.00 13.00 
i = 27:  189.00 5.50 
i = 28:  126.00 7.50 
i = 29:  184.00 6.50 
i = 30:  98.00 13.50 
i = 31:  177.00 5.50 
i = 32:  185.00 3.00 
i = 33:  184.00 3.50 
i = 34:  176.00 3.50 
i = 35:  177.00 3.00 
i = 0:124.00 1.00 
k1 = 1 k = 36
all = 0 k1 = 1
c = 0.00
